firefox-esr, 102.7.0, latest,,,
badwolf, 1.2.2, latest,,,
yay, 11.3.2, latest,,,
arnix-welcome, 0.1-beta,latest,,,
arnix-imgview, 0.1-beta, latest,,,
arnix-textedit, 0.1-beta, latest,,,
artall, 0.1-testing, latest,,,
octopi, 0.14.0, latest,,,
ampl_octopi_utils, 1.0.2, latest,,,
